word_form	frequency	length
میں	4875	3
ہے	4763	2
کے	4030	2
آپ	2593	2
نہیں	2249	4
ایک	2246	3
نے	2053	2
کی	1902	2
کو	1862	2
سے	1588	2
اس	1569	2
ہیں	1517	3
لئے	1408	3
یہ	1389	2
کیا	1366	3
تم	1267	2
اور	1148	3
وہ	1105	2
کہ	1013	2
کر	1007	2
پر	960	2
ہو	936	2
مجھے	812	4
تھا	780	3
ہم	748	2
ہوں	725	3
کا	682	2
گا	650	2
بھی	599	3
کرنے	576	4
ساتھ	573	4
یہاں	537	4
رہا	508	3
تو	506	2
بہت	492	3
کچھ	480	3
طرح	443	3
گے	441	2
اب	437	2
ان	435	2
گیا	410	3
رہے	407	3
ٹھیک	406	4
لیکن	400	4
ہاں	387	3
اسے	381	3
جی	378	2
کوئی	367	4
سکتے	363	4
بات	361	3
بارے	357	4
سب	347	2
میرے	342	4
سکتا	340	4
کسی	328	3
صرف	322	3
لگتا	321	4
اپنے	319	4
کہا	287	3
انہوں	277	5
کرنا	273	4
باہر	269	4
طور	267	3
تھے	264	3
جانتے	264	5
کریں	254	4
جائے	250	4
کبھی	242	4
میری	234	4
اوہ	234	3
دیا	232	3
آدمی	230	4
مسٹر	230	4
چاہتے	227	5
حاصل	224	4
کرتے	222	4
ویسے	222	4
دو	221	2
جارج	216	4
جا	210	2
کیوں	209	4
تک	205	2
وقت	203	3
رک	198	2
رات	198	3
یا	194	2
شاید	189	4
شکریہ	185	5
کس	184	2
اگر	179	3
پتہ	179	3
ہی	177	2
وہاں	177	4
ہر	176	2
زیادہ	175	5
لے	174	2
جو	173	2
مطلب	164	4
بعد	163	3
جب	163	2
پہلے	162	4
پھر	161	3
چاہتا	154	5
طرف	152	3
جاؤ	147	3
مل	147	2
تمام	146	4
اچھا	146	4
گھر	145	3
تمہیں	143	5
وجہ	139	3
دیکھا	135	5
یقین	133	4
ہمارے	132	5
بار	130	3
نہ	129	2
میرا	128	4
چھوڑ	125	4
مدد	122	3
کوشش	122	4
آج	121	2
چلو	121	3
کہاں	121	4
ہیلو	120	4
مجھ	119	3
معلوم	118	5
کام	118	3
کروں	117	4
دیکھ	117	4
جگہ	113	3
جاتا	112	4
براہ	112	4
کاسا	111	4
بلانکا	111	6
لڑکے	109	4
کرو	108	3
ضرورت	108	5
چاہئے	107	5
کین	105	3
کرے	105	3
تھی	105	3
لیسزلو	105	6
معاف	104	4
دن	102	2
ہوا	101	3
نیچے	101	4
کرتا	100	4
منٹ	99	3
مہربانی	98	7
واپس	97	4
ارے	97	3
ایسا	97	4
سال	96	3
یاد	95	3
دور	95	3
انتظار	95	6
کون	94	3
جانے	94	4
دیں	94	3
خیال	93	4
تلاش	93	4
ہونے	90	4
خوش	90	3
آئے	90	3
یہی	90	3
ہمیں	89	4
محبت	89	4
مریم	88	4
مہاشی	88	5
مجرم	87	4
بند	87	3
سنا	87	3
قتل	87	3
اپنی	86	4
گئے	86	3
آیا	85	3
نظر	84	3
دے	83	2
لوگوں	83	5
پیرس	83	4
چیز	81	3
لیں	81	3
دیکھو	80	5
پولیس	80	5
اچھی	79	4
وکٹر	78	4
کم	77	2
سیم	77	3
ذریعے	75	5
جانتا	75	5
پڑے	75	3
بیلی	75	4
بالکل	74	5
بنا	74	3
کل	73	2
کافی	72	4
ختم	71	3
اہ	71	2
ابھی	71	4
قسم	71	3
بس	70	2
بچے	69	3
شروع	69	4
دنیا	67	4
امریکہ	66	6
کہہ	66	3
ہونا	66	4
ہمیشہ	65	5
لیا	65	3
زندگی	65	5
پسند	64	4
ہوتا	64	4
جناب	63	4
سوچا	63	4
ادا	63	3
بیوی	62	4
سن	62	2
اتنا	62	4
صحیح	61	4
سا	61	2
چلا	61	3
تین	60	3
صاحب	59	4
ہیری	59	4
ملا	58	3
عورت	58	4
والد	58	4
کہنا	58	4
جہاں	57	4
رینالٹ	57	6
حق	56	2
واقعی	56	5
قسمت	55	4
شخص	55	3
جانا	55	4
دوست	55	4
پاس	55	3
رہی	55	3
خطوط	55	4
مر	54	2
کاروبار	54	7
آتا	54	3
نام	54	3
تھوڑا	54	5
ہہ	54	2
سچ	54	2
شہر	53	3
ہوگا	53	4
کیونکہ	53	6
بیٹھ	52	4
گرد	52	3
فون	52	3
ووٹ	52	3
بتا	51	3
گی	51	2
دلچسپی	51	6
یوگریٹ	51	6
دوسرے	50	5
ماں	50	3
عزیز	50	4
ڈال	50	3
مسز	49	3
رہنے	49	4
ضروری	49	5
اہم	49	3
بچوں	49	4
آتے	48	3
انہیں	48	5
بہتر	48	4
والے	48	4
میجر	48	4
دیتا	47	4
ہماری	47	5
تیار	47	4
قابل	47	4
ارد	47	3
چھوٹا	47	5
خوبصورت	47	7
جائیں	46	5
دیر	46	3
والا	45	4
سمجھ	45	4
مار	45	3
آگے	45	3
قاتل	45	4
شادی	44	4
