word_form	frequency	length
ich	3330	3
die	3251	3
der	3102	3
sie	2777	3
und	2566	3
das	1876	3
ist	1780	3
du	1669	2
nicht	1580	5
in	1449	2
zu	1369	2
ein	1327	3
es	1257	2
den	1135	3
er	1031	2
mit	1003	3
von	884	3
eine	862	4
auf	788	3
wir	775	3
dem	660	3
für	660	3
wie	658	3
sich	651	4
mich	637	4
mir	636	3
an	630	2
hat	578	3
des	578	3
ihr	577	3
was	576	3
dass	553	4
so	545	2
im	544	2
war	535	3
dich	532	4
wenn	517	4
als	488	3
ihn	475	3
aber	473	4
um	463	2
sind	443	4
einen	441	5
sein	433	4
wird	423	4
aus	420	3
habe	392	4
bin	381	3
dir	380	3
noch	379	4
haben	365	5
uns	362	3
meine	359	5
nach	356	4
mein	347	4
hier	341	4
nur	340	3
frau	310	4
werden	305	6
werde	296	5
zum	294	3
auch	281	4
da	280	2
kann	278	4
am	268	2
mann	263	4
vor	259	3
jetzt	248	5
doch	244	4
wo	237	2
euch	236	4
ihm	234	3
bist	233	4
bei	228	3
leben	227	5
alles	225	5
ihre	225	4
hast	224	4
diese	223	5
einer	214	5
dann	211	4
mehr	210	4
seine	210	5
muss	207	4
einem	205	5
musik	203	5
oder	202	4
immer	201	5
wieder	200	6
man	198	3
nichts	197	6
wurde	193	5
will	183	4
über	179	4
ihnen	177	5
mal	176	3
heute	176	5
deine	174	5
keine	174	5
sehen	174	5
alle	173	4
ja	170	2
zur	167	3
morgen	163	6
gehen	157	5
dieser	156	6
liebe	156	5
schon	153	5
vom	153	3
durch	151	5
nie	150	3
kommen	147	6
wer	146	3
gott	146	4
warum	144	5
bis	144	3
dein	144	4
mutter	143	6
soll	143	4
hatte	141	5
gut	140	3
zwei	137	4
teufel	135	6
etwas	131	5
können	131	6
vater	131	5
eines	131	5
junge	130	5
nacht	130	5
weg	128	3
ende	128	4
kommt	125	5
tag	123	3
gibt	123	4
lassen	121	6
müssen	120	6
zurück	120	6
würde	120	5
denn	117	4
kein	116	4
machen	115	6
sehr	114	4
nein	113	4
ihren	113	5
stadt	112	5
weiß	112	4
nun	111	3
los	107	3
zeit	106	4
bitte	105	5
seiner	104	6
abend	102	5
unter	101	5
meinen	101	6
sei	100	3
haus	100	4
ganz	99	4
welt	99	4
selbst	97	6
bringen	96	7
diesen	95	6
sagen	95	5
wirst	94	5
diesem	93	6
tod	93	3
meiner	92	6
macht	91	5
komm	90	4
oh	90	2
ins	89	3
tun	88	3
ohne	87	4
herr	87	4
geht	86	4
kind	85	4
frauen	85	6
geld	84	4
wissen	83	6
wollen	81	6
willst	81	6
damit	81	5
lass	81	4
off	81	3
hause	79	5
waren	79	5
kinder	79	6
kam	78	3
arbeit	77	6
mädchen	77	7
ob	76	2
musst	76	5
sohn	76	4
maria	76	5
her	75	3
jahre	75	5
unsere	75	6
hab	75	3
ihrer	74	5
könnte	74	6
meinem	74	6
essen	72	5
augen	72	5
vergessen	72	9
tochter	71	7
gegen	71	5
hexe	71	4
vielleicht	70	10
also	70	4
viele	70	5
lch	70	3
wäre	68	4
gesehen	68	7
deinen	68	6
ihrem	68	5
schnell	67	7
freund	67	6
menschen	66	8
heiraten	66	8
kannst	65	6
während	65	7
wurden	65	6
viel	64	4
sicher	64	6
film	64	4
möchte	64	6
andere	63	6
hand	63	4
bruder	63	6
dort	62	4
weil	62	4
deiner	62	6
seinen	62	6
alten	62	5
hätte	61	5
dieses	61	6
ersten	61	6
geben	61	5
männer	60	6
raus	60	4
wollte	60	6
ab	59	2
glaube	59	6
sagte	58	5
seit	58	4
gab	58	3
finden	58	6
lieber	58	6
herz	57	4
gemacht	57	7
anderen	57	7
richter	57	7
bleiben	56	7
frantz	56	6
gehört	56	6
neue	55	4
unser	55	5
jungen	55	6
jim	55	3
