word_form	frequency	length
de	21171	2
la	12969	2
el	7267	2
en	7141	2
los	5702	3
que	5218	3
las	4533	3
del	4468	3
para	2401	4
se	2397	2
un	1920	2
por	1884	3
una	1776	3
con	1775	3
comisión	1642	8
al	1606	2
artículo	1405	8
su	1029	2
sobre	973	5
europeo	962	7
como	957	4
no	936	2
parlamento	869	10
miembros	859	8
apartado	817	8
reglamento	768	10
consejo	697	7
estados	636	7
es	594	2
fecha	554	5
propuesta	550	9
desarrollo	510	10
europea	508	7
ce	503	2
procedimiento	498	13
lo	454	2
más	451	3
presente	443	8
considerando	403	12
directiva	396	9
bis	392	3
información	387	11
sus	380	3
tribunal	380	8
nuevo	360	5
servicios	357	9
si	346	2
medidas	339	7
unión	337	5
decisión	336	8
entre	331	5
así	330	3
mayoría	319	7
social	310	6
ue	306	2
final	304	5
este	294	4
común	285	5
tratado	285	7
ha	284	2
medio	278	5
gestión	278	7
nº	272	2
punto	271	5
control	269	7
anexo	267	5
posición	263	8
cooperación	261	11
debe	258	4
miembro	257	7
caso	244	4
particular	243	10
lectura	242	7
mercado	241	7
sector	240	6
aplicación	238	10
parte	237	5
opinión	236	7
marco	235	5
votación	235	8
protección	233	10
informe	230	7
estado	227	6
política	227	8
texto	226	5
cuenta	224	6
normas	223	6
podrá	223	5
conformidad	222	11
esta	222	4
pide	220	4
sin	219	3
alegación	219	9
energía	215	7
cuando	214	6
ser	214	3
empresas	210	8
todos	209	5
comunicación	208	12
alegaciones	207	11
ámbito	206	6
cuentas	206	7
rural	206	5
votos	205	5
empleo	205	6
fin	202	3
también	202	7
ambiente	202	8
años	201	4
materia	200	7
emitidos	199	8
objetivos	199	9
condiciones	195	11
ponente	195	7
art	193	3
disposiciones	193	13
cada	192	4
autoridad	191	9
deben	191	5
resolución	190	10
evaluación	190	10
presentes	185	9
ayuda	185	5
párrafo	184	7
productos	182	9
propiedades	181	11
calidad	180	7
puede	179	5
zonas	179	5
nacionales	179	10
sociedad	179	8
comunidad	178	9
trabajo	178	7
acceso	177	6
mayor	176	5
mediante	175	8
comité	174	6
tanto	172	5
programa	172	8
comunitaria	170	11
proyecto	169	8
saludables	169	10
acciones	167	8
año	166	3
cualquier	166	9
rurales	166	7
consulta	165	8
acuerdo	164	7
pleno	163	5
alimentos	163	9
vista	162	5
debería	162	7
pueden	161	6
financiera	160	10
países	159	6
proyectos	159	9
actividades	158	11
cee	157	3
personas	156	8
son	155	3
programas	154	9
estas	153	5
uso	153	3
todas	150	5
respecto	149	8
forma	149	5
considera	149	9
plazo	148	5
dictamen	147	8
jurídico	147	8
letra	147	5
desde	147	5
primera	146	7
otros	144	5
período	144	7
fundamento	143	10
contra	143	6
nivel	142	5
general	142	7
forestal	141	8
arreglo	140	7
renovables	140	10
transporte	139	10
tener	139	5
contenido	139	9
visto	138	5
ya	138	2
regiones	138	8
otra	138	4
derecho	138	7
recursos	138	8
sea	137	3
deberá	135	6
codecisión	134	10
comunitarias	134	12
relación	133	8
europeos	133	8
comunitario	132	11
seguridad	132	9
ejecución	132	9
partir	132	6
formación	132	9
garantizar	131	10
objetivo	131	8
estrategia	131	10
derechos	130	8
legislación	130	11
datos	129	5
fondo	129	5
producción	129	10
nacional	128	8
podrán	128	6
competente	127	10
locales	127	7
instrumento	127	11
han	126	3
mandato	124	7
utilización	123	11
relativa	123	8
base	121	4
fondos	121	6
público	120	7
durante	119	7
otras	119	5
presentación	118	12
ayudas	118	6
vez	118	3
nuevas	118	6
estos	117	5
pública	117	7
casos	116	5
propone	116	7
acción	116	6
crecimiento	116	11
financiación	116	12
sostenible	116	10
suplentes	115	9
antes	115	5
asuntos	115	7
mismo	114	5
aprobación	114	10
modificar	113	9
importancia	113	11
anuncio	113	7
deberán	112	7
le	112	2
hasta	112	5
económico	112	9
igualdad	112	8
solicitud	111	9
mejorar	111	7
efecto	110	6
sociales	110	8
valor	110	5
conjunto	109	8
propuestas	109	10
importante	108	10
objeto	108	6
políticas	108	9
participación	108	13
medios	107	6
tiene	107	5
consumidor	107	10
conforme	106	8
sistema	106	7
necesario	104	9
bosques	104	7
elementos	103	9
posible	103	7
asimismo	103	8
autorización	103	12
contribuir	103	10
financiero	103	10
aprobar	102	7
tal	102	3
relativo	102	8
ciudadanos	102	10
segunda	101	7
integran	101	8
presidente	101	10
nuevos	101	6
salud	101	5
fuentes	101	7
instituciones	101	13
adopción	100	8
sólo	100	4
