word_form	frequency	length
میں	6060	3
ہے	6051	2
کے	5380	2
آپ	3462	2
ایک	2943	3
نہیں	2851	4
نے	2614	2
کی	2607	2
کو	2439	2
اس	2175	2
سے	2157	2
ہیں	1937	3
یہ	1855	2
لئے	1845	3
کیا	1829	3
اور	1575	3
تم	1547	2
وہ	1429	2
کہ	1366	2
پر	1337	2
کر	1270	2
ہو	1176	2
تھا	1105	3
مجھے	1024	4
ہم	979	2
کا	957	2
ہوں	874	3
گا	805	2
کرنے	758	4
بھی	753	3
ساتھ	713	4
تو	661	2
بہت	629	3
رہا	610	3
کچھ	609	3
طرح	599	3
یہاں	597	4
گیا	593	3
ان	586	2
لیکن	546	4
اب	541	2
گے	539	2
ہاں	537	3
جی	524	2
رہے	503	3
کوئی	496	4
سکتے	480	4
اسے	475	3
ٹھیک	472	4
میرے	467	4
بات	455	3
اپنے	445	4
سکتا	445	4
بارے	444	4
سب	437	2
کسی	403	3
صرف	399	3
لگتا	384	4
طور	381	3
انہوں	353	5
کہا	351	3
باہر	349	4
تھے	348	3
کرنا	348	4
دیا	342	3
کریں	336	4
جائے	334	4
جانتے	324	5
کبھی	306	4
اوہ	299	3
میری	298	4
مسٹر	297	4
چاہتے	289	5
حاصل	286	4
یا	283	2
ویسے	283	4
دو	282	2
کرتے	281	4
آدمی	272	4
جا	266	2
زیادہ	266	5
تک	266	2
وقت	258	3
کیوں	255	4
شکریہ	249	5
اگر	248	3
کس	243	2
لے	233	2
جب	232	2
ہی	231	2
رات	229	3
بعد	227	3
شاید	224	4
جارج	224	4
پہلے	223	4
طرف	213	3
پھر	212	3
جو	209	2
تمام	206	4
ہر	205	2
رک	204	2
پتہ	204	3
وہاں	203	4
صاحب	192	4
مطلب	191	4
مل	188	2
گھر	186	3
چاہتا	183	5
جاؤ	179	3
دیکھا	179	5
یقین	176	4
اچھا	176	4
میرا	174	4
مجھ	172	3
نہ	170	2
وجہ	170	3
کوشش	167	4
بار	164	3
ہمارے	163	5
تمہیں	159	5
چھوڑ	155	4
کام	154	3
تھی	152	3
واپس	152	4
چلو	152	3
مدد	151	3
اپنی	148	4
چاہئے	147	5
دیکھ	145	4
قتل	145	3
براہ	140	4
کروں	139	4
جاتا	137	4
کہاں	136	4
کرے	134	3
ہیلو	133	4
ایسا	133	4
کرو	132	3
آج	131	2
معلوم	129	5
کرتا	128	4
جگہ	128	3
ضرورت	127	5
آئے	123	3
مہربانی	123	7
منٹ	122	3
دن	122	2
بالکل	122	5
دے	121	2
دور	121	3
معاف	121	4
نیچے	119	4
ہوا	118	3
لڑکے	118	4
ہمیں	116	4
جانے	116	4
سر	116	2
مسز	115	3
دیں	115	3
یاد	114	3
خیال	113	4
یہی	113	3
مجرم	112	4
گئے	111	3
کاسا	111	4
بلانکا	111	6
سنا	110	3
سال	108	3
خوش	108	3
کون	108	3
کین	107	3
تلاش	107	4
انتظار	107	6
ہونے	106	4
بند	106	3
ارے	106	3
نظر	106	3
بیوی	105	4
لیسزلو	105	6
کافی	104	4
آیا	104	3
اچھی	103	4
محبت	103	4
ابھی	100	4
قسم	100	3
ہونا	100	4
چیز	99	3
لوگوں	99	5
لیں	98	3
ذریعے	97	5
دیکھو	96	5
کم	94	2
پولیس	94	5
کل	93	2
کیونکہ	93	6
عورت	92	4
بنا	92	3
پیرس	92	4
شروع	91	4
پڑے	90	3
سچ	90	2
فرانسیسی	90	8
مہاشی	90	5
مریم	88	4
جانتا	88	5
لیا	87	3
پسند	86	4
بس	86	2
ختم	85	3
ہمیشہ	84	5
سوچا	84	4
بہتر	84	4
کہنا	84	4
نام	83	3
سا	83	2
بچے	83	3
زندگی	82	5
ضروری	81	5
اہ	81	2
پاس	81	3
ہوگا	80	4
تیار	79	4
کہہ	79	3
حق	79	2
واقعی	79	5
جانا	78	4
رہی	78	3
وکٹر	78	4
چلا	77	3
سیم	77	3
ہوتا	76	4
بیلی	76	4
ادا	74	3
شخص	73	3
تھوڑا	73	5
تین	73	3
دوست	72	4
سن	72	2
انہیں	71	5
اتنا	71	4
آتا	70	3
شادی	69	4
ہہ	69	2
دنیا	68	4
کاروبار	68	7
آگے	68	3
فون	68	3
مر	67	2
دوسرے	67	5
جناب	67	4
ڈال	67	3
امریکہ	66	6
ملا	66	3
قسمت	66	4
گی	66	2
گرد	66	3
ہماری	65	5
صحیح	65	4
جہاں	64	4
بیٹھ	63	4
والے	63	4
خود	62	3
آخری	62	4
کورس	62	4
محسوس	62	5
قابل	61	4
لیونارڈ	61	7
جنگ	60	3
ارد	60	3
والد	60	4
مار	59	3
ہیری	59	4
اہم	59	3
ہوئے	59	4
خطوط	59	4
جس	58	2
دلچسپی	58	6
دیکھنے	57	6
چھوٹا	57	5
بغیر	57	4
رینالٹ	57	6
کرنل	57	4
ولفریڈ	57	6
دی	56	2
رہنے	56	4
بتا	56	3
آتے	56	3
سمجھ	56	4
دیتا	55	4
شہر	55	3
پاگل	55	4
خوبصورت	55	7
میجر	55	4
مکمل	54	4
خط	54	2
سوال	54	4
کیپٹن	54	5
لوگ	53	3
آو	53	2
مردوں	53	5
بچوں	53	4
پیسے	52	4
خلاف	52	4
ووٹ	52	3
بنانے	51	5
گڈ	51	2
جائیں	51	5
ماں	51	3
نمبر	51	4
لینے	51	4
ثبوت	51	4
دیر	51	3
یوگریٹ	51	6
مس	50	2
اعتراض	50	6
عدالت	50	5
امید	50	4
عزیز	50	4
غیر	50	3
گزشتہ	49	5
دیکھیں	49	6
قاتل	49	4
کہیں	49	4
والا	48	4
دینے	48	4
رکھتے	48	5
سوچ	48	3
جلدی	48	4
تمہارے	48	6
عظیم	47	4
آواز	47	4
قیدی	47	4
ممکن	47	4
موقع	46	4
پوری	46	4
عجیب	46	4
چاہیے	46	5
دروازے	46	6
کپتان	46	5
ڈان	46	3
گئی	45	3
لیے	45	3
لگا	45	3
حیرت	45	4
ڈر	45	2
تبدیل	44	5
توقع	44	4
پرانے	44	5
لو	44	2
تمہارا	44	6
فکر	44	3
ہفتے	43	4
دونوں	43	5
جنرل	43	4
حقیقت	43	5
کہتے	43	4
چیزیں	43	5
لڑکی	43	4
صبح	43	3
رہو	43	3
پیش	43	3
جھوٹ	43	4
دوبارہ	42	6
دونگا	42	5
شرط	42	3
پوچھ	42	4
آنے	42	3
چارلی	42	5
یقینی	42	5
برا	42	3
غلط	42	3
افسوس	42	5
محفوظ	42	5
جرمن	42	4
چارلس	41	5
استعمال	41	7
کمرے	41	4
شوہر	41	4
معافی	41	5
رکھنے	41	5
حضرات	41	5
لگ	40	2
اندر	40	4
گھنٹے	40	5
ٹرین	40	4
ہاتھ	40	4
بھول	40	4
گولی	40	4
کہانی	40	5
اوپر	40	4
پوٹر	40	4
حکم	39	3
بتایا	39	5
برنسٹین	39	7
دوسری	39	5
مت	39	2
ٹرانزٹ	39	6
رکھیں	39	5
گرفتار	39	6
خاص	39	3
کاسابلانکا	39	10
فرانکس	39	6
ہوائی	39	5
فروخت	38	5
لفظ	38	3
فوری	38	4
کرسمس	38	5
کیسے	38	4
معاملہ	38	6
چیزوں	38	5
پانچ	38	4
طویل	38	4
گواہی	38	5
انسپکٹر	38	7
جہاز	38	4
زمین	37	4
بوڑھے	37	5
مشکل	37	4
سی	37	2
چلانے	37	5
رکھ	37	3
چل	37	2
باس	37	3
ہوشیار	37	6
آخر	37	3
خدا	37	3
جرمنوں	37	6
رچرڈ	37	4
کاغذات	36	6
رہنا	36	4
اپنا	36	4
فرض	36	3
غلطی	36	4
چھوٹی	36	5
چپ	36	2
صورت	36	4
چاقو	36	4
پہلی	35	4
آسان	35	4
تحت	35	3
کھو	35	3
کیجئے	35	5
قرض	35	3
چلے	35	3
میز	35	3
گلاب	34	4
مالک	34	4
دفتر	34	4
ثابت	34	4
مقابلے	34	6
فیصلہ	34	5
غریب	34	4
گاڑی	34	4
دوستوں	34	6
موجود	34	5
دیکھتے	34	6
فرار	34	4
نقطہ	34	4
تقریبا	33	6
بے	33	2
جواب	33	4
اسی	33	3
خوشی	33	4
جاری	33	4
آدمیوں	33	6
خون	33	3
پیسہ	33	4
پیدا	33	4
سکتی	33	4
ملے	33	3
فرق	33	3
گواہ	33	4
پوچھنا	33	6
ویزا	33	4
فیراری	33	6
ریخ	33	3
کلی	32	3
انسان	32	5
رہتے	32	4
بستر	32	4
باپ	32	3
چلتے	32	4
مشورہ	32	5
کارٹر	32	5
مزید	32	4
خیز	32	3
کال	32	3
چند	32	3
کیفے	32	4
وکیل	32	4
جیوری	32	5
جلد	31	3
اخبار	31	5
رقم	31	3
بینک	31	4
اتنی	31	4
اکیلے	31	5
دل	31	2
بھاگ	31	4
کرسٹین	31	6
بڑے	30	3
اگلے	30	4
چار	30	3
رکھا	30	4
رکو	30	3
دماغ	30	4
دیکھنا	30	6
چھ	30	2
اچھے	30	4
مضحکہ	30	5
مارا	30	4
لزبن	30	4
بڑی	29	3
پیچھے	29	5
گر	29	2
فرانس	29	5
موت	29	3
بڑا	29	3
الوداع	29	6
ڈالر	29	4
کپڑے	29	4
اجازت	29	5
پڑا	29	3
معذرت	29	5
جیسے	29	4
درمیان	29	6
پورے	29	4
کھیل	29	4
حروف	29	4
پتوار	29	5
عمارت	28	5
سفر	28	3
کھڑے	28	4
منہ	28	3
احساس	28	5
چھوٹے	28	5
جوڑے	28	4
پھینک	28	5
سامنے	28	5
بتاو	28	4
کتنا	28	4
کیس	28	3
نجی	27	3
عام	27	3
سوا	27	3
ملاقات	27	6
عمر	27	3
جاننا	27	5
راستے	27	5
بچہ	27	3
ظاہر	27	4
طریقہ	27	5
دینا	27	4
الزام	27	5
ری	27	2
لوئس	27	4
حراستی	27	6
کیمپ	27	4
کاغذ	26	4
انکوائرر	26	8
پینے	26	4
نیویارک	26	7
قیمت	26	4
چاہوں	26	5
درست	26	4
رکھنا	26	5
جذباتی	26	6
بیمار	26	5
تجویز	26	5
منتقل	26	5
پکڑ	26	3
سماعت	26	5
آرام	26	4
لیفٹیننٹ	26	8
گرفتاری	26	7
بلی	26	3
فورمین	26	6
سو	25	2
دیگر	25	4
اصل	25	3
ذاتی	25	4
سوسن	25	4
ہوئی	25	4
یورپ	25	4
ہوتے	25	4
چھوڑنے	25	6
علاوہ	25	5
جام	25	3
حوصلہ	25	5
پایا	25	4
رکھو	25	4
دلچسپ	25	5
نائٹ	24	4
زندہ	24	4
خوفناک	24	6
قریب	24	4
مصیبت	24	5
جاتے	24	4
کھانے	24	5
ڈاکٹر	24	5
شامل	24	4
تعریف	24	5
لمحے	24	4
لی	24	2
سودا	24	4
ویزے	24	4
پہاڑی	24	5
تعمیر	23	5
بیان	23	4
رہ	23	2
ایل	23	3
کمپنی	23	5
ساتھی	23	5
روشنی	23	5
پریشان	23	6
مناسب	23	5
بلکہ	23	4
افزائی	23	6
روکنے	23	5
متاثر	23	5
ہلاک	23	4
بری	23	3
دس	23	2
سامراا	23	6
کان	22	3
قسمتی	22	5
تھیچر	22	5
اگرچہ	22	5
بہترین	22	6
قدم	22	3
ذمہ	22	3
اعتماد	22	6
مقامات	22	6
لایا	22	4
تمہاری	22	6
بڑھو	22	4
اشارہ	22	5
رپورٹ	22	5
نوٹس	22	4
مذاق	22	4
انگیز	22	5
کھڑکی	22	5
پانی	22	4
سننے	22	4
استغاثہ	22	7
واضح	22	4
دوسروں	22	6
شبہ	22	3
کارل	22	4
دفاع	22	4
مختلف	21	5
نفرت	21	4
اکثر	21	4
تھامسن	21	6
نکل	21	3
بول	21	3
راست	21	4
سوچنا	21	5
لڑکا	21	4
جرم	21	3
تاکہ	21	4
قبول	21	4
معاملے	21	6
حصہ	21	3
لائن	21	4
خدمت	21	4
ٹوپی	21	4
ہوٹل	21	4
دوران	21	5
کوریئرز	21	7
پوچھیں	21	6
چیونٹی	21	6
ڈیکس	21	4
فوسٹر	20	5
منعقد	20	5
بنایا	20	5
مختصر	20	5
بتانے	20	5
توڑ	20	3
جیت	20	3
اتفاق	20	5
سوچتے	20	5
بھر	20	3
ناممکن	20	6
چیک	20	3
ہنسی	20	4
لڑ	20	2
راستہ	20	5
روک	20	3
نکلنے	20	5
شک	20	2
کلیرنس	20	6
سیکنڈ	20	5
حملے	20	4
مقدمے	20	5
مہیو	20	4
چکا	19	3
طریقے	19	5
ملک	19	3
تنہا	19	4
بتانا	19	5
دستخط	19	5
غور	19	3
بھیج	19	4
کہو	19	3
سیکھا	19	5
مطابق	19	5
سگار	19	4
بن	19	2
کیسا	19	4
گرم	19	3
تاہم	19	4
ٹیکسی	19	5
پیار	19	4
پڑتا	19	4
قائل	19	4
اپ	19	2
لانے	19	4
پال	19	3
مند	19	3
الزامات	19	7
ناک	19	3
امریکی	18	6
خواہش	18	5
حملہ	18	4
انکار	18	5
صدر	18	3
کئی	18	3
بھیڑ	18	4
مرنے	18	4
جان	18	3
خالی	18	4
مرضی	18	4
نقد	18	3
رہتا	18	4
ماہ	18	3
احمق	18	4
لکھا	18	4
وضاحت	18	5
بیوکوف	18	6
بچانے	18	5
ایماندار	18	8
منزل	18	4
ساری	18	4
حقیقی	18	5
خانے	18	4
پیشکش	18	5
تھرڈ	18	4
گسٹاپو	18	6
برجر	18	4
بھائی	18	5
گاور	18	4
مارچ	17	4
شمار	17	4
کار	17	3
نوجوان	17	6
الفاظ	17	5
نصف	17	3
یقینا	17	5
ریاست	17	5
ہمت	17	3
بیٹا	17	4
دنوں	17	4
اسکول	17	5
میل	17	3
سوچتا	17	5
سنو	17	3
دبا	17	3
صاف	17	3
بھیجا	17	5
برداشت	17	6
سرکاری	17	6
سنگین	17	5
پرواہ	17	5
شراب	17	4
ذہن	17	3
افراد	17	5
پرانی	17	5
قانون	17	5
پوچھو	17	5
مارکیٹ	17	6
عورتوں	17	6
شیمپین	17	6
سات	17	3
حقائق	17	5
خندقوں	17	6
حال	16	3
رائے	16	4
ایملی	16	5
ملین	16	4
بلایا	16	5
بل	16	2
فیصلے	16	5
زیر	16	3
قبضہ	16	4
سامان	16	5
راز	16	3
بجائے	16	5
نئی	16	3
بندی	16	4
سڑک	16	3
وعدہ	16	4
مداخلت	16	6
کب	16	2
توجہ	16	4
ہںسنا	16	5
دوپہر	16	5
سوچنے	16	5
چہرے	16	4
مقصد	16	4
