word_form	frequency	length
και	7958	3
της	6719	3
την	5267	3
να	4769	2
του	4521	3
των	4487	3
για	3924	3
το	3491	2
που	3362	3
με	2964	2
σε	2126	2
τα	2117	2
από	2075	3
τη	1961	2
στην	1938	4
τις	1770	3
οι	1509	2
στο	1358	3
άρθρο	1295	5
ότι	1275	3
είναι	1191	5
επιτροπή	1137	8
τους	1135	4
θα	1021	2
τον	1007	3
πρέπει	988	6
κατά	741	4
παράγραφος	728	10
δεν	697	3
σχετικά	669	7
στις	669	4
υπόψη	667	5
εκ	650	2
επιτροπής	564	9
στη	529	3
στον	527	4
μέλη	515	4
κανονισμού	485	10
οποία	480	5
ως	477	2
έχει	468	4
σύμφωνα	466	7
εε	465	2
κράτη	464	5
αφορά	437	5
ευρωπαϊκό	418	9
διαδικασία	416	10
όπως	405	4
κοινοβούλιο	404	11
μπορεί	401	6
έχουν	399	5
στα	397	3
πρόταση	396	7
πλαίσιο	392	7
καθώς	386	5
συμβουλίου	374	10
τομέα	374	5
προς	366	4
ημερομηνία	332	10
ευρωπαϊκής	331	10
αυτό	331	4
ένα	330	3
έχοντας	325	7
ανάπτυξη	325	8
ευρωπαϊκού	324	10
μια	315	3
κοινοβουλίου	313	12
συμβούλιο	302	9
μεταξύ	301	6
αριθ.	299	5
όσον	286	4
κάθε	269	4
βάση	261	4
εν	260	2
νέα	258	3
ανάπτυξης	257	9
επίσης	256	6
ευρωπαϊκή	244	9
ενέργειας	243	9
λόγω	242	4
προκειμένου	241	11
υπηρεσιών	239	9
αυτές	236	5
μπορούν	234	7
ελέγχου	233	7
μέσω	229	4
επίπεδο	229	7
αυτή	223	4
αρχή	218	4
συνθήκης	217	8
ένωσης	215	6
παράρτημα	214	9
οδηγίας	213	7
μελών	212	5
πλειοψηφία	209	10
έκθεση	209	6
εφαρμογή	208	8
περίπτωση	205	9
συνεδρίου	198	9
θέση	193	4
πολιτικής	192	9
αιτιολογική	189	11
λαμβάνοντας	189	11
μιας	187	4
κρατών	187	6
όταν	184	4
στους	184	5
μέτρα	184	5
οδηγία	184	6
εργασίας	182	8
σκέψη	180	5
σημείο	180	6
ιδίως	179	5
ενός	179	4
μετά	178	4
παρόντος	178	8
χρήση	177	5
μία	176	3
τροφίμων	175	8
περιοχές	173	8
ελεγκτικού	171	10
ανάγνωση	166	8
επί	166	3
στοιχεία	163	8
εντός	162	5
προώθηση	162	8
έως	161	3
μέλος	161	5
χωρίς	160	5
κοινότητας	160	10
μόνο	159	4
υπηρεσίες	158	9
αγορά	157	5
οποίες	157	6
ισχυρισμός	157	10
νέο	156	3
οποίο	155	5
ώστε	154	4
έγκριση	151	7
εάν	151	3
εοκ	150	3
απόφασης	149	8
κανονισμό	148	9
ψηφοφορία	148	9
διατάξεις	148	9
ιδιότητες	148	9
απόφαση	146	7
στοιχείο	145	8
τελική	144	6
συνεργασίας	143	11
μη	140	2
προστασία	140	9
κανονισμός	139	10
ζητεί	138	5
οικονομική	138	10
τρόπο	137	5
πρώτη	136	5
ολομέλεια	136	9
αλλά	135	4
διαχείρισης	135	11
ημερομ	134	6
γνώμη	133	5
μεταφορών	133	9
τομείς	133	6
ψηφισάντων	132	10
βελτίωση	132	8
ρόλο	132	4
πρόσβαση	131	8
δημιουργία	131	10
έγκρισης	130	8
πληροφορίες	130	11
περίοδο	130	7
καλεί	130	5
συνέδριο	130	8
αγοράς	128	6
άρθρου	128	6
βάσει	128	5
αποτελούν	127	9
αν	127	2
διαχείριση	127	10
απασχόλησης	127	11
πολιτική	125	8
εφαρμογής	125	9
άλλων	125	5
αγροτικές	125	9
