word_form	frequency	length
ja	9005	2
on	4222	2
että	2483	4
euroopan	1692	8
tai	1588	3
artiklan	1206	8
sekä	947	4
ei	922	2
huomioon	870	8
yhteisön	802	8
parlamentin	794	11
perustelu	743	9
jotka	731	5
komission	699	9
olisi	665	5
sen	650	3
pvä	642	3
kohta	628	5
ovat	625	4
ottaa	574	5
myös	561	4
neuvoston	546	9
voidaan	524	7
joka	499	4
mukaisesti	486	10
asetuksen	469	9
ey	466	2
tämän	463	5
kohdan	456	6
se	436	2
eu:n	425	4
komissio	402	8
erityisesti	381	11
ole	370	3
niiden	369	6
voi	354	3
jos	352	3
enemmistö	351	9
kuin	348	4
jotta	346	5
jäsenvaltioiden	342	15
n:o	339	3
kun	338	3
mukaan	336	6
uusi	336	4
ne	330	2
katsoo	324	6
kanssa	321	6
unionin	317	7
lopullisessa	292	12
yhteisen	282	8
alakohta	281	8
koskevan	279	8
voivat	278	6
artikla	275	7
kehottaa	273	8
olleet	271	6
direktiivin	265	11
läsnä	265	5
koskevat	263	8
jonka	261	5
äänestyksessä	258	13
komissiota	254	10
tämä	251	4
artiklassa	247	10
käsittely	244	9
kannan	242	6
yksinkertainen	238	14
eivät	236	5
ilmoitettu	232	10
vain	231	4
esittelijä	229	10
johdantoosan	228	12
istunnossa	225	10
siitä	224	5
sitä	222	4
maaseudun	222	9
kuten	218	5
ehdotuksen	218	10
kohdassa	213	8
liite	204	5
asiasta	204	7
osalta	204	6
perustamissopimuksen	200	20
olla	200	4
parlamentille	198	13
kappale	198	7
pyytää	197	6
yhteydessä	197	10
eri	194	3
parlamentti	188	11
koska	186	5
ety	185	3
korostaa	185	8
tässä	184	5
joita	181	5
jäsenten	180	8
päätös	180	6
art	177	3
tarkistukset	175	12
joilla	175	6
valiokunta	175	10
kuitenkin	174	9
joiden	173	6
muiden	172	6
oltava	171	6
jälkeen	171	7
pitää	170	5
lisäksi	169	7
jo	167	2
prosenttia	165	10
mikäli	165	6
kannalta	163	8
neuvostolle	162	11
varten	162	6
toiminnan	161	9
tehty	158	5
jolla	156	5
ey:n	153	4
ehdotus	153	7
siihen	153	6
päivänä	152	7
lausunto	152	8
vuoden	149	6
jossa	149	5
elintarvikkeiden	149	16
avulla	147	6
koskevien	144	9
koskeva	143	7
ehdotuksesta	141	12
mutta	141	5
vuoksi	141	6
komissiolle	140	11
perusteella	140	11
koskevia	139	8
pitäisi	139	7
eikä	138	4
antaa	137	5
sisältää	137	8
annettu	136	7
asetuksessa	135	11
esimerkiksi	134	11
jota	134	4
tasolla	133	7
siten	133	5
tärkeää	132	7
aikana	132	6
siksi	131	5
sovelletaan	130	11
s.	129	2
vielä	129	5
annetun	127	7
pyritään	127	8
näin	125	4
näiden	125	6
kaikki	125	6
alalla	125	6
otetaan	124	7
jäsenet	124	7
jäsenvaltion	124	12
tällä	124	5
hyväksymiseksi	122	14
esittää	122	7
väittämä	122	8
kaikkien	121	8
tehdä	120	5
niitä	120	5
ensimmäinen	119	11
käyttöön	119	8
hyväksytty	119	10
sillä	119	5
tätä	119	4
jäsenvaltiot	119	12
ennen	118	5
koskee	118	6
otsikko	117	7
valmistelija	116	12
osa	115	3
asetukseksi	115	11
wto:n	115	5
toimien	114	7
vuonna	114	6
edellä	113	6
neuvosto	113	8
lainsäädännön	111	13
jäsenvaltioissa	109	15
muun	109	4
toimia	109	6
vastaava	108	8
toinen	107	6
joissa	107	6
tähän	107	5
edistää	107	7
perustuu	106	8
työjärjestyksen	106	15
mikä	106	4
markkinoille	105	12
mitä	104	4
otettava	103	8
valiokunnat	103	11
enintään	103	8
liittyvät	102	9
mennessä	102	8
tarvittaessa	101	12
de	101	2
alueella	101	8
vähintään	100	9
päätöksen	100	9
menettely	99	9
maiden	99	6
ottaen	99	6
tavoitteiden	99	12
yritysten	98	9
vastaan	97	7
nämä	97	4
olevan	97	6
saa	96	3
miten	96	5
tavalla	95	7
uusia	95	5
yhteistyö	94	9
valiokunnan	94	11
lausunnon	94	9
käytetään	93	9
alueiden	93	8
tukea	92	5
jäsenvaltioita	92	14
voitaisiin	91	10
sopimuksen	91	10
muita	91	5
käyttää	91	7
tarkistus	90	9
määrä	90	5
nimitetty	89	9
valiokuntakäsittely	89	19
lopullisen	89	10
niin	89	4
varajäsenet	88	11
käsiteltäväksi	88	14
lissabonin	88	10
luonnos	87	7
mahdollisimman	87	14
poistetaan	87	10
kyseisen	86	8
ensimmäisen	86	11
ravitsemus-	86	11
euroa	86	5
maatalouden	86	11
äänestyksen	85	11
tulos	85	5
virallisessa	85	12
lehdessä	85	8
asetus	85	6
säännösten	85	10
kaupan	85	6
sijaiset	84	8
saatavilla	84	10
kansallisten	84	12
naisten	84	7
ollen	83	5
ainoastaan	83	10
julkisen	83	8
tarkistamiseksi	82	15
yksi	82	4
eurooppalaisen	82	14
olevien	81	7
saada	80	5
uuden	80	5
tiedot	80	6
edelleen	80	8
toimet	80	6
välillä	79	7
ympäristön	79	10
taloudellisen	79	13
hankkeiden	79	10
hylkäämiseksi	78	13
annetaan	78	8
tarkistuksella	78	14
luetelmakohta	78	13
käytön	78	6
eyvl	77	4
syrjinnän	77	9
muut	77	4
terveysväittämien	77	17
uusiutuvien	77	11
ensimmäisessä	76	13
koko	76	4
a.	76	2
talousarvion	76	12
koskevista	75	10
selvästi	75	8
tapauksissa	75	11
edellyttää	75	10
tarpeen	75	7
tehtävä	75	7
kehityksen	75	10
erittäin	75	8
toimikauden	75	11
mahdollisuuksia	74	15
puolesta	74	8
toteaa	74	6
varmistaa	74	9
täytäntöön	74	10
sosiaalisen	74	11
viranomaisen	74	12
menettelyn	73	10
ii	73	2
tehostettu	73	10
seuraavat	73	9
parantaa	73	8
energialähteiden	73	16
vaikka	72	6
mietinnön	71	9
kuukauden	71	9
mahdollisuus	71	12
elintarvikkeen	71	14
kuluessa	70	8
sellaisten	70	10
kaikkia	70	7
tästä	70	5
direktiivi	70	10
ilman	70	5
vaikuttaa	70	9
paljon	70	6
samalla	69	7
merkitystä	69	10
yleisesti	69	9
muuttamisesta	69	13
olemassa	69	8
euvl	68	4
hyväksyy	68	8
siinä	68	5
kunkin	68	6
joihin	68	6
arviointi	67	9
muutoksia	67	9
talous-	67	7
annettava	67	9
käyttö	67	6
tietoa	67	6
tavoitteena	67	11
arvioinnin	67	10
puitteissa	67	10
julkaistu	66	9
hyvin	66	5
viiteasiakirjat	66	15
tulee	66	5
pyydetty	66	8
joulukuuta	66	10
