word_form	frequency	length
di	4577	2
il	3905	2
la	3634	2
che	1739	3
per	1680	3
del	1640	3
un	1523	2
l'	1316	2
della	1260	5
non	1230	3
in	1222	2
una	987	3
le	985	2
con	799	3
si	780	2
da	721	2
suo	710	3
al	689	2
dei	635	3
alla	584	4
sua	545	3
dell'	521	5
sono	515	4
gli	469	3
come	444	4
nel	440	3
ha	391	2
se	391	2
più	385	3
mi	384	2
nella	371	5
mio	366	3
loro	352	4
ma	350	2
lo	331	2
io	325	2
delle	321	5
questo	316	6
casa	306	4
ti	276	2
mia	267	3
d'	264	2
ho	262	2
dal	256	3
dalla	252	5
all'	243	4
sud	240	3
questa	237	6
ora	237	3
amore	236	5
lei	234	3
era	232	3
dopo	228	4
degli	226	5
prima	224	5
suoi	216	4
parte	203	5
padre	203	5
città	200	5
uomo	196	4
ai	184	2
solo	182	4
essere	181	6
morte	181	5
grande	177	6
stato	177	5
babilonia	177	9
ci	175	2
mai	169	3
lui	168	3
belshazzar	168	10
tutti	165	5
giorno	165	6
ciro	163	4
qui	159	3
tu	159	2
ad	156	2
figlio	156	6
ragazza	155	7
ragazzo	152	7
guerra	150	6
signor	149	6
quando	149	6
me	148	2
vita	148	4
piccolo	148	7
signore	147	7
negri	146	5
notte	141	5
stoneman	141	8
cara	140	4
due	140	3
figlia	138	6
alle	137	4
madre	136	5
vampiri	136	7
hanno	134	5
dove	134	4
tra	134	3
contro	133	6
sia	132	3
senza	131	5
re	130	2
fratello	129	8
su	129	2
signora	129	7
dai	128	3
fine	128	4
tuo	126	3
così	123	4
de	122	2
porta	121	5
tua	121	3
un'	120	3
uno	119	3
ancora	118	6
nell'	117	5
storia	116	6
cosa	116	4
dio	115	3
cui	115	3
ogni	115	4
cameron	115	7
c'	114	2
tempo	114	5
vi	113	2
aveva	113	5
tutto	112	5
nuovo	111	5
dante	111	5
te	110	2
philippe	110	8
quella	109	6
sotto	108	5
colonnello	108	10
fa	107	2
uomini	107	6
fatto	107	5
anche	106	5
noi	106	3
voi	106	3
sul	106	3
lynch	106	5
bene	105	4
ed	104	2
ne	103	2
va	103	2
amico	103	5
sta	103	3
favraux	103	7
occhi	102	5
giorni	101	6
oh	101	2
sempre	100	6
sulla	99	5
via	98	3
jenkins	97	7
moglie	96	6
bel	96	3
mentre	95	6
sue	95	3
chi	92	3
verso	92	5
parigi	92	6
fantômas	92	8
mazamette	92	9
conte	91	5
sei	90	3
sera	90	4
vostro	90	6
intolleranza	90	12
col	89	3
giovane	89	7
perché	88	6
nelle	88	5
nota	88	4
questi	87	6
altri	87	5
dalle	86	5
molto	86	5
film	86	4
hai	85	3
nostro	85	6
primo	84	5
donna	84	5
fuori	83	5
bianchi	83	7
voglio	83	6
principessa	83	11
sarà	82	4
nostra	82	6
sacerdote	81	9
amici	80	5
viene	79	5
quale	79	5
piccola	79	7
domani	79	6
lincoln	78	7
capitano	78	8
miei	77	4
gran	77	4
secondo	77	7
nord	76	4
ishtar	76	6
montagna	75	8
lavoro	75	6
vedere	73	6
stesso	73	6
strada	73	6
ultimo	72	6
no	71	2
li	71	2
popolo	71	6
bambino	71	7
nei	70	3
ordine	69	6
amata	69	5
cuore	69	5
dall'	69	5
davanti	69	7
donne	68	5
può	68	3
anni	67	4
potere	67	6
proprio	66	7
marito	66	6
erano	66	5
stessa	65	6
quel	65	4
fu	65	2
posto	65	5
nuova	65	5
mano	64	4
qualche	64	7
elsie	64	5
abbiamo	63	7
fare	63	4
tutta	63	5
altro	63	5
giudice	63	7
polizia	63	7
piedmont	63	8
momento	62	7
tempio	62	6
dobbiamo	61	8
visita	61	6
altra	61	5
tuoi	61	4
nome	60	4
nessuno	60	7
vecchio	60	7
irma	60	4
terra	59	5
tre	58	3
campo	58	5
capo	58	4
presidente	58	10
sorella	58	7
quello	57	6
mondo	57	5
stata	57	5
stati	57	5
banda	57	5
posso	57	5
juve	57	4
governatore	57	11
mare	56	4
caro	56	4
mattina	56	7
aver	56	4
atto	56	4
visto	55	5
principe	55	8
nostri	55	6
alba	55	4
lettera	55	7
matrimonio	54	10
virgilio	54	8
grazie	54	6
quest'	54	6
bianco	54	6
i'	54	2
modo	53	4
notizia	53	7
signorina	53	9
dice	53	4
ufficio	53	7
camera	53	6
epoca	53	5
