word_form	frequency	length
de	5339	2
ik	3892	2
het	3231	3
je	2983	2
een	2600	3
van	2288	3
is	2259	2
dat	2149	3
en	2029	2
niet	1757	4
in	1593	2
zijn	1288	4
ze	1162	2
te	1112	2
hij	1083	3
op	1047	2
voor	952	4
wat	946	3
we	920	2
die	903	3
met	900	3
maar	870	4
er	761	2
naar	740	4
als	738	3
was	677	3
aan	673	3
me	635	2
om	632	2
mijn	600	4
hem	572	3
heb	568	3
haar	515	4
ben	508	3
dit	485	3
zal	450	3
kan	437	3
heeft	436	5
dan	429	3
uit	417	3
moet	412	4
nog	404	3
hier	398	4
geen	397	4
waar	396	4
weet	390	4
zo	390	2
zou	381	3
wil	369	3
bij	368	3
hebben	361	6
nu	352	2
over	338	4
door	338	4
mij	336	3
wel	326	3
man	301	3
hoe	300	3
uw	286	2
of	277	2
deze	277	4
weg	268	3
goed	267	4
ja	267	2
jij	267	3
ons	266	3
gaan	262	4
al	256	2
had	242	3
ook	242	3
daar	240	4
bent	239	4
ga	238	2
doen	233	4
kom	227	3
jou	223	3
gaat	223	4
't	221	2
meer	216	4
hebt	212	4
m'n	210	3
iets	208	4
wie	198	3
waarom	198	6
twee	198	4
nee	197	3
tot	189	3
kunnen	188	6
leven	185	5
terug	180	5
laat	175	4
zich	170	4
vrouw	169	5
zei	168	3
moeten	166	6
nooit	164	5
huis	161	4
worden	160	6
doe	154	3
toch	154	4
eens	151	4
jullie	150	6
zien	149	4
wordt	148	5
alleen	148	6
komt	147	4
zeg	147	3
denk	145	4
alles	144	5
werd	141	4
laten	139	5
dag	137	3
tijd	137	4
niets	135	5
vader	134	5
komen	130	5
misschien	128	9
veel	122	4
zullen	121	6
iemand	120	6
weten	119	5
onze	119	4
tegen	117	5
even	117	4
nou	116	3
handen	115	6
dus	115	3
dood	115	4
werk	112	4
grote	112	5
hun	111	3
weer	111	4
zit	108	3
mag	108	3
meneer	107	6
altijd	106	6
af	103	2
hou	103	3
toen	101	4
andere	101	6
'n	101	2
jaar	100	4
wij	98	3
dr.	98	3
onder	97	5
kijk	97	4
zonder	96	6
mee	96	3
zeggen	96	6
lang	96	4
uur	95	3
zij	95	3
mensen	94	6
willen	93	6
nodig	91	5
