word_form	frequency	length
de	3367	2
que	2539	3
la	2182	2
no	1846	2
el	1806	2
en	1618	2
es	1251	2
un	1091	2
lo	916	2
por	890	3
los	826	3
una	745	3
se	715	2
me	611	2
con	592	3
para	584	4
te	578	2
su	558	2
qué	514	3
las	468	3
mi	462	2
del	454	3
pero	415	4
tu	400	2
como	392	4
si	378	2
bien	371	4
está	364	4
al	346	2
eso	339	3
esta	318	4
yo	304	2
le	284	2
aquí	265	4
más	252	3
muy	239	3
todo	237	4
esto	229	4
este	212	4
ahora	198	5
así	196	3
cuando	194	6
sí	190	2
ya	189	2
hay	183	3
vamos	175	5
estoy	174	5
algo	170	4
tengo	168	5
todos	162	5
él	154	2
soy	151	3
eres	150	4
fue	149	3
ese	147	3
tú	145	2
sus	142	3
noche	142	5
nos	136	3
casa	133	4
ha	132	2
vez	131	3
hacer	130	5
son	130	3
cómo	128	4
tiene	127	5
ella	127	4
nada	122	4
tan	121	3
ser	119	3
solo	118	4
tienes	116	6
estás	116	5
bueno	115	5
oh	115	2
mejor	113	5
vida	113	4
entonces	113	8
señor	112	5
puedo	112	5
nunca	111	5
esa	111	3
gracias	110	7
dos	109	3
también	105	7
stubby	103	6
uno	102	3
sobre	102	5
tiempo	101	6
porque	101	6
hasta	99	5
ti	99	2
dónde	98	5
siempre	96	7
hace	95	4
verdad	95	6
puede	95	5
quiero	93	6
era	92	3
padre	92	5
años	91	4
mí	89	2
día	88	3
sin	88	3
mucho	84	5
les	84	3
dios	83	4
voy	82	3
quién	81	5
trabajo	80	7
gran	80	4
ver	80	3
chicos	80	6
sabes	79	5
creo	78	4
favor	78	5
cálido	78	6
va	77	2
están	77	5
antes	76	5
sé	76	2
mundo	76	5
usted	75	5
después	75	7
tenemos	74	7
he	74	2
fiesta	74	6
hola	73	4
hombre	72	6
quieres	72	7
decir	71	5
estaba	70	6
siento	69	6
ahí	68	3
ni	68	2
donde	68	5
cosas	68	5
arsenio	68	7
caliente	67	8
dante	67	5
otra	66	4
amigo	66	5
alguien	66	7
gente	66	5
poco	65	4
freddy	65	6
puedes	64	6
nosotros	64	8
nuevo	63	5
ellos	63	5
dinero	63	6
parte	63	5
mis	62	3
