word_form	frequency	length
ich	2640	3
die	2496	3
der	2322	3
sie	2132	3
und	2082	3
das	1452	3
ist	1374	3
nicht	1261	5
du	1261	2
in	1141	2
zu	1065	2
ein	1002	3
es	968	2
den	878	3
er	805	2
mit	776	3
von	697	3
auf	638	3
eine	626	4
wir	597	3
mir	527	3
sich	512	4
für	512	3
dem	507	3
mich	507	4
wie	502	3
was	492	3
an	483	2
so	463	2
ihr	456	3
war	454	3
des	453	3
hat	448	3
dass	423	4
wenn	419	4
im	415	2
dich	409	4
als	392	3
ihn	382	3
aber	380	4
um	357	2
aus	343	3
sein	336	4
sind	335	4
wird	330	4
einen	317	5
habe	301	4
bin	296	3
meine	292	5
uns	287	3
noch	286	4
nach	282	4
hier	282	4
mein	279	4
haben	273	5
dir	264	3
nur	263	3
kann	235	4
auch	233	4
werden	232	6
zum	227	3
da	226	2
am	218	2
frau	217	4
doch	216	4
werde	213	5
vor	205	3
euch	201	4
ihm	196	3
mann	196	4
jetzt	196	5
wo	192	2
bei	189	3
ihre	184	4
alles	181	5
muss	178	4
leben	176	5
mehr	174	4
hast	174	4
diese	171	5
dann	167	4
bist	161	4
einer	160	5
man	159	3
immer	159	5
wurde	155	5
oder	154	4
über	153	4
einem	149	5
seine	149	5
sehen	149	5
will	145	4
wieder	144	6
keine	142	5
ja	142	2
ihnen	139	5
heute	139	5
mal	138	3
nichts	138	6
gehen	135	5
zur	132	3
schon	129	5
deine	128	5
durch	128	5
soll	128	4
morgen	127	6
bis	126	3
wer	126	3
liebe	126	5
gut	124	3
alle	123	4
warum	121	5
nacht	121	5
hatte	120	5
nie	120	3
teufel	117	6
kommen	115	6
dieser	115	6
mutter	114	6
vom	114	3
können	112	6
weg	111	3
junge	109	5
zwei	108	4
dein	105	4
nein	104	4
kommt	103	5
etwas	101	5
vater	101	5
tag	100	3
eines	99	5
denn	98	4
würde	98	5
weiß	97	4
gibt	94	4
los	91	3
kein	91	4
ihren	90	5
sehr	89	4
zeit	88	4
oh	88	2
nun	88	3
stadt	87	5
bringen	85	7
zurück	85	6
ganz	85	4
lassen	84	6
müssen	83	6
unter	83	5
bitte	82	5
ende	82	4
seiner	81	6
off	81	3
selbst	78	6
meinen	78	6
sagen	77	5
ohne	75	4
komm	75	4
diesem	75	6
diesen	74	6
machen	74	6
gott	74	4
ins	73	3
abend	73	5
welt	73	4
