word_form	frequency	length
az	6757	2
és	6532	2
the	4424	3
hogy	2523	4
of	2277	2
to	1612	2
európai	1605	7
and	1519	3
in	1383	2
kell	1320	4
vagy	1224	4
is	1170	2
bizottság	1117	9
cikk	1074	4
de	1042	2
nem	883	3
be	841	2
for	782	3
indokolás	687	9
bekezdés	667	8
la	663	2
való	633	4
parlament	621	9
valamint	621	8
szóló	615	5
dátuma	615	6
vonatkozó	586	9
egy	573	3
új	559	2
on	496	2
érdekében	490	9
that	476	4
tekintettel	471	11
közösségi	470	9
történő	468	7
eljárás	464	7
által	462	5
rendelet	441	8
meg	434	3
pénzügyi	408	8
számára	403	7
ek	375	2
should	375	6
as	375	2
irányuló	368	8
annak	364	5
des	359	3
többsége	355	8
eu	352	2
közös	350	5
it	347	2
kapcsolatos	345	11
this	339	4
amely	338	5
tanácsi	336	7
by	331	2
olyan	324	5
ha	319	2
gazdasági	318	9
különösen	317	9
bizottságot	315	11
with	308	4
mivel	304	5
megfelelő	291	9
jelen	291	5
lévő	285	4
illetve	282	7
alapján	278	7
et	278	2
amelyek	274	7
les	274	3
pont	273	4
le	270	2
el	267	2
nemzeti	267	7
számvevőszék	266	12
are	264	3
első	262	4
commission	260	10
der	259	3
en	257	2
mint	257	4
which	257	5
szerint	253	7
úgy	252	3
zárószavazáson	249	14
european	249	8
van	248	3
die	242	3
tagállamok	239	10
arra	238	4
olvasat	237	7
vidéki	237	6
szavazatok	234	10
minden	233	6
leadott	232	7
azt	231	3
not	231	3
ülésen	226	6
an	223	2
során	222	5
ez	222	2
ezen	218	4
költségvetési	215	13
unió	213	4
parlamenti	212	10
ki	212	2
megfelelően	207	11
preambulumbekezdés	206	18
közötti	204	7
mezőgazdasági	203	13
adott	202	5
melléklet	201	9
szociális	200	9
említett	197	8
or	197	2
meghatározott	195	13
illetékes	194	9
irányelv	192	8
regulation	192	10
határozat	192	9
tanács	191	6
felhívja	189	8
javasolt	186	8
más	186	3
plenáris	185	8
állítás	185	7
között	184	6
claims	183	6
tekintetében	181	12
egk	180	3
bizottságnak	175	12
szöveg	174	6
bejelentés	174	10
jogalkotási	173	11
ilyen	173	5
második	172	7
figyelembe	171	10
amennyiben	170	10
member	170	6
társadalmi	170	10
que	169	3
hangsúlyozza	168	12
cikke	167	5
helyi	167	5
összes	166	6
states	166	6
álláspont	163	9
vélemény	163	8
póttagok	162	8
csak	162	4
will	162	4
támogatás	161	9
esetében	161	8
politikai	160	9
un	159	2
jogi	159	4
ekszerződés	156	11
article	155	7
have	155	4
összhangban	154	11
szükséges	153	9
belül	150	5
regionális	150	10
community	150	9
együttdöntési	148	13
development	147	11
hatóság	146	7
proposal	145	8
fel	144	3
ellenőrző	144	9
teljes	144	6
harmadik	143	8
from	143	4
cikkének	142	8
például	141	7
kereskedelmi	139	12
at	139	2
une	136	3
und	134	3
érintett	132	8
keretében	131	9
területén	130	9
egyes	129	5
den	129	3
mind	128	4
