word_form	frequency	length
ta	6917	2
the	5215	3
li	4307	2
of	3042	2
and	2293	3
to	1908	2
in	1647	2
jew	1135	3
dwar	1012	4
għal	879	4
for	869	3
biex	680	4
on	669	2
ma	667	2
artikolu	649	8
fuq	637	3
dan	625	3
għandhom	600	8
that	595	4
sabiex	583	6
minn	570	4
għandha	550	7
is	547	2
de	524	2
be	523	2
as	501	2
kif	476	3
ewropew	462	7
paragrafu	449	9
membri	441	6
wara	440	4
għandu	436	6
la	419	2
huma	404	4
mod	402	3
european	387	8
skond	381	5
ke	362	2
by	361	2
with	359	4
jiġu	343	4
it	335	2
court	327	5
commission	309	10
tiegħu	300	6
kull	300	4
ewropea	299	7
jkun	298	4
tkun	294	4
this	294	4
jistgħu	292	7
member	292	6
data	287	4
lartikolu	285	9
billi	285	5
talparlament	281	12
are	277	3
dawn	270	4
irregolament	263	12
tagħhom	261	7
punt	258	4
tiġi	257	4
proċedura	255	9
huwa	254	4
talkunsill	249	10
which	249	5
jista	245	5
kkunsidra	244	9
din	242	3
kollha	238	6
jekk	237	4
bħala	235	5
aktar	233	5
ukoll	232	5
soċjali	231	7
nru	229	3
jiġi	228	4
listati	225	7
or	223	2
meta	222	4
likel	219	5
an	218	2
at	215	2
should	212	6
jkunu	211	5
fejn	207	4
lillkummissjoni	205	15
rurali	205	6
mhux	204	4
its	198	3
le	198	2
bejn	197	4
et	195	2
ikunu	193	5
il	192	2
from	191	4
permezz	189	7
ikun	188	4
fi	188	2
committee	187	9
have	185	4
flartikolu	184	10
article	184	7
states	184	6
des	184	3
ġdid	183	4
premessa	179	8
parliament	177	10
dikjarazzjonijiet	176	17
issaħħa	175	7
talkummissjoni	174	14
ilkummissjoni	174	13
maġġoranza	173	10
hemm	173	4
talkomunità	173	11
not	172	3
komuni	169	6
oħra	169	4
financial	169	9
liżvilupp	163	9
nazzjonali	163	10
dikjarazzjoni	159	13
will	158	4
eu	155	2
rural	155	5
development	154	11
social	152	6
proposta	149	8
all	149	3
membru	148	6
national	148	8
has	147	3
community	145	9
finali	144	6
finanzjarja	143	11
ikel	142	4
also	141	4
management	141	10
qed	139	3
new	139	3
linformazzjoni	138	14
biss	138	4
prodotti	137	8
tal	136	3
dawk	135	4
union	134	5
their	134	5
dak	133	3
rapporteur	131	10
en	130	2
kee	129	3
energy	129	6
qari	127	4
tista	127	5
bi	127	2
jitlob	125	6
legali	124	6
date	124	4
hija	124	4
les	124	3
tattrattat	123	10
di	123	2
partikolari	122	11
ġenerali	121	8
kemm	121	4
tagħha	121	6
lawtorità	121	9
can	120	3
lambjent	120	8
lue	119	3
wkoll	118	5
lewwel	117	6
firrigward	117	10
bħal	117	4
would	117	5
qabel	116	5
public	115	6
talvoti	114	7
mitfugħa	114	8
ewropej	114	7
jsiru	113	5
livell	113	6
lillkunsill	112	11
lokali	111	6
information	111	11
informazzjoni	110	13
auditors	109	8
regulation	108	10
se	107	2
sa	107	2
more	107	4
audit	107	5
other	106	5
anness	105	6
annex	104	5
lillparlament	103	13
ġdida	103	5
wieħed	102	6
proposal	101	8
any	101	3
control	100	7
għajnuna	98	8
lpożizzjoni	97	11
lużu	97	4
preżenti	97	8
lunjoni	97	7
protection	97	10
filkaż	96	6
under	96	5
out	96	3
reġjonali	96	9
msemmija	95	8
ġu	95	2
ġodda	95	5
du	95	2
council	94	7
up	93	2
opinjoni	93	8
areas	93	5
snin	92	4
measures	92	8
such	91	4
taħt	91	4
my	91	2
lapplikazzjoni	90	14
was	90	3
forestali	90	9
partikulari	89	11
miżuri	89	6
żmien	89	5
komunitarja	89	11
jagħti	88	6
these	88	5
un	88	2
been	87	4
tarregolament	86	13
parti	86	5
mingħajr	86	8
deċiżjoni	86	9
lopinjoni	86	9
market	86	6
talkumitat	85	10
hu	85	2
ssir	85	4
between	84	7
particular	84	10
iddirettiva	83	11
qbil	83	4
lenerġija	83	9
xieraq	82	6
shall	82	5
use	82	3
economic	81	8
order	81	5
del	81	3
enerġija	80	8
filqasam	80	8
sostenibbli	80	11
present	79	7
your	79	4
paragraph	79	9
stat	78	4
azzjoni	78	7
opinion	78	7
must	78	4
waħda	77	5
naturali	77	8
renewable	77	9
lgħajnuna	76	9
xierqa	75	6
iddikjarazzjoni	75	15
per	75	3
regolament	74	10
kumitat	74	7
mill	74	4
tat	74	3
għalhekk	74	8
għallvotazzjoni	74	15
if	73	2
final	73	5
lillistati	73	10
kontra	73	6
dans	73	4
kodeċiżjoni	72	11
japplikaw	72	9
legal	72	5
basis	72	5
għalihom	71	8
report	71	6
perjodu	71	7
cooperation	71	11
within	71	6
ensure	71	6
millkummissjoni	70	15
servizzi	70	8
treaty	70	6
year	70	4
talmembri	69	9
taddirettiva	69	12
speċifiċi	69	9
stipulati	69	9
may	69	3
hekk	69	4
evalwazzjoni	69	12
state	69	5
only	69	4
plenarja	69	8
tifsira	68	7
ilparlament	68	11
listess	68	7
barra	68	5
inklużi	68	7
level	68	5
disponibbli	68	11
innutrizzjoni	68	13
programmi	68	9
you	68	3
koperazzjoni	67	12
work	67	4
into	67	4
riżoluzzjoni	66	12
those	66	5
japplika	66	8
pubbliku	66	8
ambjentali	66	10
but	65	3
one	65	3
could	65	5
decision	65	8
support	65	7
que	65	3
taxxogħol	64	9
minħabba	64	8
listat	64	6
gwida	64	5
żvilupp	64	7
fisseduta	64	9
bażi	63	4
members	63	7
ħafna	63	5
employment	63	10
lil	62	3
ġejjin	62	6
there	62	5
responsible	62	11
vote	62	4
taddeċiżjoni	62	12
set	62	3
framework	62	9
policy	62	6
test	61	4
sakemm	61	6
no	61	2
internal	61	8
local	61	5
quality	61	7
activities	60	10
ladozzjoni	60	10
emendata	59	8
jipprovdu	59	9
fissuq	59	6
xi	59	2
ec	59	2
konformi	59	8
budget	59	6
part	59	4
une	59	3
importanti	58	10
limplimentazzjoni	58	17
institutions	58	12
important	58	9
għall	58	5
pubbliċi	58	8
quddiem	58	7
actions	58	7
section	58	7
der	58	3
waqt	57	4
internazzjonali	57	15
rapport	57	7
directive	57	9
need	57	4
komunitarji	57	11
finnatura	57	9
take	57	4
commissione	57	11
action	57	6
ittip	56	5
ħlas	56	4
dik	56	3
direttiva	56	9
ii	56	2
implementation	56	14
they	56	4
għalliżvilupp	56	13
tassuq	56	6
lejn	56	4
għallkonsumatur	56	15
communication	56	13
resources	56	9
major	56	5
tekniċi	55	7
stabbilit	55	9
mogħtija	55	8
bżonn	55	5
jagħmel	55	7
sector	55	6
society	55	7
jinnota	55	7
zoni	54	4
rules	54	5
hi	54	2
lirwol	54	6
xaħam	54	5
pour	54	4
ekonomiku	54	9
ce	54	2
duties	54	6
jenfasizza	54	10
ilproposta	53	10
ilbażi	53	6
pubblika	53	8
xjentifika	53	10
finanzjarju	53	11
qafas	53	5
tattħabbir	53	10
production	53	10
politiċi	53	8
millparlament	52	13
ilproċedura	52	11
iktar	52	5
procedure	52	9
programm	52	8
years	52	5
listrateġija	52	12
lict	52	4
konsultazzjoni	51	14
diġà	51	4
fisseħħ	51	7
some	51	4
role	51	4
numru	51	5
instrument	51	10
kooperazzjoni	51	13
par	51	3
particularly	51	12
involuti	50	8
każ	50	3
lintrapriżi	50	11
jieħdu	50	6
we	50	2
proposed	50	8
adopted	50	7
lproposta	50	9
fih	50	3
flimkien	50	8
provide	50	7
women	50	5
jagħtu	49	6
imħassar	49	8
system	49	6
make	49	4
area	49	4
kontenut	49	8
objectives	49	10
how	49	3
programme	49	9
jiġġeddu	49	8
abbozz	48	6
komunitarju	48	11
flistati	48	8
adottati	48	8
leffett	48	7
ċivili	48	6
limportanza	48	11
żieda	48	5
law	48	3
appoġġ	48	6
reports	48	7
ittieni	47	7
stabbiliti	47	10
pajjiż	47	6
ieħor	47	5
calls	47	5
kwalunkwe	47	9
bla	47	3
made	47	4
services	47	8
intern	46	6
jagħmlu	46	7
laħħar	46	6
iżda	46	4
through	46	7
base	46	4
fishing	46	7
emendi	45	6
proposti	45	8
ekonomika	45	9
vetturi	45	7
għoli	45	5
including	45	9
increase	45	8
therefore	45	9
people	45	6
jkollha	45	7
jikkunsidra	45	11
regional	45	8
au	45	2
access	45	6
europe	45	6
them	45	4
media	45	5
minnhom	44	7
tarregoli	44	9
