word_form	frequency	length
the	1719	3
do	1003	2
na	1002	2
of	933	2
to	677	2
and	587	3
że	546	2
oraz	492	4
komisji	474	7
się	470	3
in	445	2
de	407	2
art	354	3
parlamentu	319	10
przez	302	5
by	294	2
jest	289	4
sprawie	288	7
procedura	285	9
data	280	4
większość	271	9
głosów	271	6
europejskiego	261	13
uwzględniając	261	13
la	254	2
lub	246	3
we	245	2
for	244	3
dla	240	3
rady	230	4
kontroli	226	8
trybunału	221	9
on	216	2
nie	214	3
końcowego	191	9
oddanych	180	8
is	179	2
czytanie	175	8
są	175	2
ust	175	3
be	175	2
projekt	174	7
głosowania	168	10
traktatu	167	8
za	159	2
komisję	159	7
celu	157	4
podczas	153	7
jak	148	3
commission	148	10
tym	140	3
that	140	4
et	138	2
ue	136	2
komisja	135	7
pe	132	2
des	132	3
od	124	2
europejskiej	122	12
które	120	5
le	117	2
les	116	3
stanowiska	115	10
unii	115	4
współdecyzji	114	12
decyzji	114	7
aby	114	3
ochrony	114	7
zakresie	113	8
ich	113	3
poprawki	111	8
rezolucji	111	9
rozwoju	110	7
pracy	109	5
as	109	2
zarządzania	109	11
with	105	4
obecni	103	6
państwa	101	7
which	101	5
mając	101	5
trybunał	100	8
stanowisko	99	10
liczby	99	6
uwadze	99	6
jako	98	4
posiedzeniu	97	11
opinii	97	6
european	97	8
en	97	2
it	96	2
wzywa	96	5
po	95	2
rozporządzenia	94	14
ogólnej	94	7
dnia	94	4
parlament	93	9
wspólnego	91	9
zatwierdzić	90	11
this	90	4
posłów	89	6
obrachunkowego	89	14
sposób	88	6
projects	88	8
współpracy	87	10
tekstu	87	6
należy	87	6
członkowskich	87	13
wspólne	85	7
pierwsze	84	8
środowiska	84	10
or	82	2
are	81	3
także	81	5
community	79	9
nr	78	2
wniosek	78	7
również	77	7
zgodnie	77	7
europejski	76	10
rynku	76	5
być	76	3
energy	76	6
radzie	75	6
member	75	6
strategii	75	9
parlamentowi	73	12
zwraca	73	6
członkowskie	73	12
dotyczącego	72	11
wydania	72	7
działania	72	9
poprzez	72	7
energii	71	7
an	69	2
une	69	3
drugie	68	6
dans	68	4
zgody	67	5
swojego	67	7
pomocy	67	6
from	67	4
rzecz	67	5
państw	66	6
prawnej	65	7
states	65	6
article	65	7
podkreśla	65	9
opinia	64	6
wniosku	64	7
zatrudnienia	64	12
sprawozdawca	63	12
wprowadzić	63	10
legislacyjnej	63	13
jego	63	4
wspólnoty	63	9
powinny	63	7
dotyczących	62	11
zastępcy	61	8
co	61	2
odrzucić	60	8
służb	60	5
financial	60	9
sprawozdanie	60	12
technicznych	59	12
elementów	59	9
może	59	4
ramach	59	6
zmiany	59	6
lasów	59	5
dzu	57	3
których	57	7
ogłoszenia	57	10
uwagę	57	5
regulaminu	56	10
przypadku	56	9
rozporządzenie	56	14
finansami	56	9
leśnej	56	6
związku	55	7
at	55	2
should	55	6
its	55	3
przedsiębiorstw	55	15
polityki	55	8
zobowiązuje	54	11
ze	54	2
środki	54	6
budżetowej	54	10
have	54	4
legislacyjnego	53	14
przewodniczącego	53	16
szczególności	53	13
str	53	3
has	53	3
social	53	6
społecznej	53	10
konsultacji	52	11
kursywą	52	7
projektu	52	8
europejskiemu	51	13
odniesieniu	51	11
du	51	2
poprawka	50	8
środków	50	7
oceny	50	5
celów	50	5
can	49	3
un	48	2
dotyczące	47	9
przy	47	4
regulation	47	10
tej	47	3
transport	47	9
sprawozdania	47	12
wszystkich	47	10
członka	47	7
uważa	47	5
rozpatrzenie	46	12
zmian	46	5
new	46	3
will	46	4
council	46	7
języku	46	6
działań	46	7
fishing	46	7
podstawie	45	9
poprawkach	45	10
złożenia	45	8
jeśli	45	5
finansowych	45	11
bardziej	45	8
aid	45	3
tego	45	4
au	45	2
temat	45	5
tych	45	4
np	44	2
dotychczas	44	10
przekazania	44	11
usług	44	5
proposal	44	8
jakości	44	7
jeżeli	43	6
posłowie	43	8
renewable	43	9
gospodarki	43	10
wynik	42	5
sprawozdań	42	10
europejskich	42	12
pracowników	42	11
urzędowym	41	9
te	41	2
informacji	41	10
opinię	41	6
komitetu	41	8
tylko	41	5
ds	41	2
wspólny	40	7
artykuł	40	7
also	40	4
ec	40	2
egcc	40	4
obszarów	40	8
dzienniku	39	9
one	39	3
działalności	39	12
roku	39	4
naturalnego	39	11
directive	39	9
budżetu	39	7
uwagi	38	5
not	38	3
parliament	38	10
measures	38	8
obowiązków	38	10
pani	38	4
mogą	38	4
integracji	38	10
restrukturyzacji	38	16
dyrektywy	37	9
bezpieczeństwa	37	14
uzasadnienie	37	12
union	37	5
only	37	4
powołania	37	9
qui	37	3
par	37	3
finansowego	37	11
przedsiębiorstwa	37	16
przepisów	36	9
czy	36	3
przyjęcia	36	9
podstawa	36	8
przedstawiony	36	13
latach	36	6
decision	36	8
zostać	36	6
instytucji	36	10
dziedzinie	36	10
społecznego	36	11
dostępu	35	7
trzecie	35	7
systemu	35	7
między	35	6
osób	35	4
swoje	35	5
under	35	5
wprowadzenie	35	12
cooperation	35	11
ten	35	3
term	35	4
il	35	2
rolę	35	4
poziomie	35	8
sur	35	3
przypadków	34	10
economic	34	8
spraw	34	5
tekst	34	5
szczególnie	34	11
poprawy	34	7
protection	34	10
eu	34	2
zdrowia	34	7
das	34	3
ma	34	2
oznaczenia	33	10
punkt	33	5
zapewnienia	33	11
europejskim	33	11
legal	33	5
tytuł	33	5
sprawozdawcay	33	13
paragraph	33	9
handlu	33	6
kadencji	33	8
