word_form	frequency	length
de	3607	2
ik	3111	2
het	2415	3
je	2391	2
een	1913	3
is	1778	2
dat	1759	3
van	1544	3
en	1385	2
niet	1378	4
in	1126	2
zijn	928	4
ze	911	2
te	842	2
hij	817	3
wat	784	3
op	778	2
we	735	2
voor	727	4
maar	681	4
met	675	3
die	665	3
er	610	2
als	542	3
naar	517	4
was	511	3
aan	500	3
me	482	2
om	482	2
mijn	457	4
heb	445	3
hem	416	3
ben	412	3
dit	392	3
haar	364	4
kan	358	3
weet	331	4
heeft	329	5
dan	329	3
zal	327	3
waar	315	4
geen	313	4
moet	312	4
zou	311	3
nog	305	3
zo	304	2
uit	302	3
hier	302	4
hebben	300	6
bij	285	3
wil	279	3
wel	279	3
nu	267	2
over	258	4
mij	253	3
hoe	236	3
goed	221	4
of	221	2
door	215	4
al	212	2
gaan	211	4
jij	208	3
doen	205	4
weg	201	3
ons	201	3
man	199	3
ja	196	2
't	194	2
ook	191	3
bent	186	4
gaat	185	4
hebt	184	4
daar	182	4
iets	181	4
jou	180	3
had	178	3
deze	178	4
uw	178	2
ga	172	2
waarom	172	6
nee	166	3
kom	164	3
m'n	157	3
meer	156	4
twee	149	4
tot	147	3
terug	145	5
wie	142	3
laat	140	4
kunnen	136	6
nooit	135	5
moeten	133	6
leven	131	5
denk	130	4
toch	130	4
eens	130	4
vrouw	123	5
doe	120	3
zeg	119	3
alleen	119	6
worden	118	6
zich	114	4
jullie	113	6
wordt	111	5
huis	110	4
alles	110	5
komt	109	4
vader	109	5
niets	108	5
tijd	108	4
misschien	107	9
laten	104	5
dag	103	3
zien	101	4
weten	100	5
even	97	4
komen	96	5
veel	95	4
nou	95	3
tegen	94	5
werk	94	4
iemand	93	6
jaar	90	4
altijd	89	6
'n	89	2
zit	88	3
weer	88	4
af	86	2
dus	86	3
mag	82	3
onze	81	4
willen	80	6
mee	80	3
zeggen	80	6
wij	79	3
grote	79	5
kijk	78	4
nodig	77	5
omdat	77	5
werd	77	4
dood	76	4
hun	75	3
zij	75	3
meneer	75	6
zullen	74	6
zei	73	3
xiaoping	73	8
baxter	73	6
zeker	72	5
zonder	72	6
toen	72	4
keer	72	4
mensen	71	6
hou	71	3
andere	70	6
wilt	70	4
echt	69	4
anders	69	6
oh	69	2
uur	68	3
reddington	67	10
kind	67	4
zegt	66	4
allemaal	66	8
krijgen	66	7
'm	65	2
toe	65	3
mr.	65	3
gewoon	64	6
zoals	64	5
z'n	64	3
geweest	64	7
waren	64	5
na	64	2
nieuwe	63	6
vriend	63	6
elke	63	4
god	63	3
moeder	62	6
vinden	62	6
onder	61	5
tom	61	3
wist	61	4
gedaan	61	6
geef	60	4
staat	60	5
congreslid	60	10
wilde	59	5
vandaag	59	7
miss	59	4
zitten	58	6
jouw	57	4
net	57	3
wacht	56	5
alle	56	4
doet	56	4
kon	56	3
lang	56	4
blijven	55	7
eerste	55	6
niks	55	4
maken	55	5
li	54	2
moest	54	5
dank	54	4
zie	54	3
natuurlijk	54	10
vragen	53	6
erg	53	3
dr.	53	3
gevonden	52	8
binnen	52	6
niemand	52	7
dokter	52	6
snel	51	4
land	51	4
einde	51	5
zelf	50	4
oude	50	4
drie	49	4
praten	49	6
wereld	49	6
vind	48	4
achter	48	6
thuis	48	5
vertel	48	6
eten	47	4
houden	47	6
kwam	47	4
von	47	3
jack	47	4
gezien	46	6
hele	46	4
deed	46	4
beste	46	5
iedereen	46	8
hoor	45	4
breng	45	5
helikopter	45	10
zouden	44	6
één	44	3
ziet	44	4
verder	44	6
kunt	44	4
beter	44	5
julio	44	5
vast	43	4
hand	43	4
me.	43	3
buiten	43	6
hen	43	3
u.	43	2
zelfs	43	5
harry	43	5
ark	43	3
heinrich	43	8
wachten	42	7
later	42	5
vraag	42	5
genoeg	42	6
enige	42	5
denken	42	6
denkt	42	5
naam	42	4
blijf	41	5
heel	41	4
geleden	41	7
goede	41	5
vertellen	41	9
evan	41	4
oké	40	3
wanneer	40	7
neem	40	4
maak	40	4
dacht	40	5
brengen	39	7
politie	39	7
zag	39	3
bang	39	4
jekyll	39	6
vanavond	38	8
kantoor	38	7
elkaar	38	6
idee	38	4
samen	38	5
heren	38	5
geven	38	5
familie	38	7
neen	38	4
ken	37	3
pavlovich	37	9
mannen	37	6
leuk	37	4
mooi	37	4
hadden	37	6
broers	36	6
helemaal	36	8
zorgen	36	6
alstublieft	36	11
kleine	36	6
bedrijf	36	7
vrienden	36	8
meisje	36	6
blanke	36	6
anna	36	4
caligari	36	8
morgen	35	6
zaak	35	4
zo'n	35	4
sleutel	35	7
ooit	35	4
broeders	35	8
plaats	35	6
wagner	35	6
parijs	35	6
vier	34	4
alsjeblieft	34	11
pas	34	3
keen	34	4
lijkt	34	5
rustig	34	6
klaar	34	5
word	34	4
graaf	34	5
stop	33	4
volgen	33	6
heen	33	4
begrijp	33	7
eruit	33	5
precies	33	7
kinderen	33	8
steeds	33	6
jonge	33	5
gebeurd	32	7
boot	32	4
geld	32	4
kijken	32	6
vijf	32	4
problemen	32	9
maakt	32	5
laatste	32	7
sheldrake	32	9
bel	31	3
ging	31	4
lizzy	31	5
werken	31	6
helpen	31	6
hallo	31	5
ervan	31	5
