word_form	frequency	length
the	18897	3
of	10817	2
and	7426	3
to	6885	2
in	5461	2
for	3161	3
on	2402	2
be	1955	2
that	1754	4
is	1567	2
as	1525	2
or	1509	2
european	1492	8
by	1473	2
article	1382	7
with	1290	4
commission	1165	10
this	1021	4
shall	994	5
which	969	5
parliament	903	10
member	893	6
it	826	2
are	810	3
its	750	3
regulation	722	10
should	703	6
not	669	3
council	661	7
at	658	2
states	655	6
from	649	4
an	645	2
paragraph	639	9
community	638	9
new	588	3
committee	585	9
procedure	549	9
may	500	3
have	494	4
ec	493	2
date	492	4
development	470	11
proposal	468	8
their	442	5
financial	416	9
social	413	6
eu	412	2
court	405	5
directive	402	9
such	402	4
has	391	3
all	388	3
regard	386	6
other	371	5
information	368	11
rural	364	5
having	358	6
public	354	6
energy	348	6
no	344	2
's	343	2
under	340	5
point	330	5
also	329	4
health	329	6
any	327	3
can	327	3
national	324	8
will	323	4
decision	312	8
order	309	5
management	309	10
where	301	5
made	300	4
market	296	6
within	292	6
more	291	4
particular	287	10
claim	281	5
legal	280	5
’s	279	2
rules	277	5
measures	276	8
use	276	3
treaty	275	6
if	274	2
annex	271	5
opinion	271	7
out	264	3
these	263	5
state	263	5
final	261	5
common	259	6
been	255	4
into	253	4
between	253	7
basis	251	5
must	250	4
period	246	6
union	245	5
accordance	242	10
first	241	5
report	240	6
economic	240	8
food	240	4
cooperation	239	11
areas	238	5
up	238	2
present	236	7
text	235	4
members	234	7
majority	233	8
whereas	233	7
claims	231	6
position	230	8
calls	230	5
authority	226	9
only	225	4
services	221	8
ensure	220	6
they	218	4
policy	214	6
protection	211	10
than	208	4
proposed	206	8
appropriate	205	11
level	201	5
implementation	201	14
vote	195	4
those	195	5
recital	194	7
following	194	9
support	188	7
years	186	5
conditions	185	10
forestry	185	8
reading	184	7
local	183	5
necessary	182	9
employment	182	10
adopted	181	7
one	181	3
strategy	179	8
would	178	5
access	175	6
oj	175	2
account	175	7
taken	175	5
take	174	4
set	174	3
resolution	173	10
referred	173	8
framework	172	9
programme	172	9
transport	170	9
renewable	170	9
after	168	5
was	167	3
make	167	4
eec	166	3
provisions	166	10
environmental	164	13
environment	163	11
term	163	4
regional	162	8
service	159	7
but	158	3
including	156	9
rapporteur	155	10
legislative	155	11
provide	155	7
role	155	4
year	154	4
without	154	7
control	153	7
aid	153	3
concerned	152	9
application	152	11
sector	152	6
given	151	5
provided	151	8
apply	150	5
part	150	4
down	148	4
programmes	148	10
relevant	147	8
quality	147	7
projects	147	8
need	146	4
used	146	4
political	144	9
work	144	4
votes	142	5
actions	142	7
them	140	4
plenary	140	7
action	140	6
auditors	139	8
cast	138	4
objectives	138	10
communication	137	13
number	137	6
specific	137	8
rule	136	4
time	135	4
there	135	5
through	135	7
foods	134	5
means	133	5
resources	133	9
society	133	7
activities	132	10
based	131	5
body	131	4
subject	130	7
requirements	130	12
internal	129	8
countries	129	9
law	129	3
general	128	7
respect	127	7
products	127	8
well	126	4
major	124	5
possible	124	8
responsible	124	11
third	123	5
when	123	4
each	123	4
production	123	10
case	122	4
therefore	122	9
evaluation	122	10
sustainable	122	11
draft	121	5
view	121	4
people	121	6
available	120	9
office	120	6
growth	119	6
particularly	119	12
agreement	118	9
product	117	7
announced	116	9
instrument	116	10
so	115	2
funds	115	5
training	115	8
agricultural	115	12
second	114	6
regions	114	7
parties	114	7
consumer	114	8
audit	114	5
women	112	5
important	111	9
amended	110	7
considers	110	9
budget	110	6
systems	109	7
further	108	7
institutions	108	12
legislation	107	11
nutrition	107	9
value	107	5
cases	106	5
articles	106	8
way	106	3
submitted	106	9
increase	106	8
same	105	4
rights	105	6
promoting	105	9
p.	104	2
system	104	6
data	104	4
provision	104	9
regards	103	7
company	103	7
codecision	102	10
laid	102	4
administrative	102	14
concerning	102	10
your	102	4
assistance	102	10
scientific	101	10
effect	100	6
authorities	99	11
area	99	4
europe	99	6
natural	98	7
procedures	98	10
defined	97	7
importance	97	10
appointed	97	9
budgetary	97	9
restructuring	97	13
could	96	5
substitutes	96	11
international	96	13
established	96	11
needs	95	5
civil	95	5
contribution	95	12
education	95	9
amendments	94	10
affairs	94	7
research	93	8
least	93	5
bodies	92	6
authorisation	92	13
my	92	2
pursuant	91	8
guidelines	91	10
context	91	7
forward	90	7
ict	90	3
do	89	2
promote	89	7
interest	88	8
result	88	6
crossborder	88	11
both	88	4
however	86	7
existing	86	8
certain	86	7
title	86	5
contribute	86	10
sources	86	7
policies	85	8
agriculture	85	11
effective	84	9
potential	84	9
industry	83	8
published	83	9
principle	83	9
different	83	9
working	83	7
meaning	83	7
lisbon	83	6
priority	82	8
being	82	5
participation	82	13
opportunities	82	13
forest	82	6
objective	81	9
plan	81	4
some	80	4
duties	80	6
content	80	7
business	80	8
achieved	79	8
reference	79	9
indent	79	6
establishing	78	12
amount	78	6
help	78	4
payment	77	7
citizens	77	8
priorities	77	10
forests	77	7
amend	76	5
terms	76	5
opinions	76	8
already	76	7
points	76	6
nutrient	76	8
economy	76	7
fishing	76	7
place	75	5
impact	75	6
regulations	75	11
many	75	4
per	75	3
improving	75	9
language	74	8
taking	74	6
request	74	7
response	74	8
territorial	74	11
since	74	5
safety	74	6
against	74	7
key	74	3
field	74	5
right	74	5
stresses	74	8
crops	74	5
approve	73	7
departments	73	11
include	73	7
whether	73	7
before	73	6
high	73	4
standards	73	9
sectors	73	7
funding	73	7
egcc	73	4
section	72	7
country	72	7
deleted	72	7
discrimination	72	14
reduction	72	9
capital	72	7
component	71	9
president	71	9
implementing	71	12
future	71	6
own	71	3
notes	71	5
cohesion	71	8
italics	70	7
relating	70	8
force	70	5
essential	70	9
you	70	3
levels	69	6
main	69	4
coordination	69	12
various	69	7
able	69	4
competitiveness	69	15
director	69	8
develop	68	7
minimum	68	7
change	68	6
de	68	2
nature	68	6
port	68	4
over	67	4
investment	67	10
joint	66	5
does	66	4
companies	66	9
who	66	3
applicant	66	9
another	65	7
very	65	4
related	65	7
two	65	3
workers	65	7
end	65	3
equal	65	5
results	65	7
maximum	64	7
changes	64	7
were	64	4
poverty	64	7
axis	64	4
competent	63	9
once	63	4
three	63	5
monitoring	63	10
risk	63	4
activity	63	8
how	63	3
networks	62	8
preparation	62	11
adoption	62	8
relation	62	8
most	62	4
technical	62	9
assist	61	6
yet	61	3
december	61	8
attention	61	9
approach	61	8
commercial	61	10
question	61	8
naturally	61	9
instructs	60	9
process	60	7
ii	60	2
tourism	60	7
better	60	6
vehicles	60	8
innovation	60	10
five	60	4
heating	60	7
provides	59	8
discussed	59	9
total	59	5
form	59	4
nutritional	59	11
equality	59	8
technologies	59	12
march	58	5
fat	58	3
promotion	58	9
annual	58	6
shares	58	6
jobs	58	4
farming	58	7
according	57	9
competition	57	11
encourage	57	9
previous	57	8
january	57	7
during	57	6
proposals	57	9
special	57	7
likely	57	6
agency	57	6
cooling	57	7
parts	56	5
network	56	7
principles	56	10
added	56	5
trade	56	5
cultural	56	8
labour	56	6
higher	56	6
consultation	55	12
until	55	5
purposes	55	8
required	55	8
rapid	55	5
substance	55	9
quantity	55	8
project	55	7
gender	55	6
relocation	55	10
capacity	54	8
clear	54	5
diet	54	4
generally	54	9
costs	53	5
structural	53	10
achieve	53	7
board	53	5
list	53	4
give	53	4
applicable	53	10
current	53	7
groups	53	6
expenditure	53	11
forms	53	5
media	53	5
preparedness	53	12
fully	52	5
amending	52	8
submit	52	6
road	52	4
persons	52	7
what	52	4
definition	52	10
matter	52	6
grant	52	5
fund	52	4
review	52	6
while	52	5
assurance	52	9
agencies	52	8
reports	52	7
comply	51	6
subparagraph	51	12
population	51	10
situation	51	9
we	51	2
tasks	51	5
human	51	5
instruments	51	11
developing	51	10
improve	51	7
convention	51	10
million	51	7
security	51	8
fundamental	51	11
farmers	51	7
normal	50	6
infrastructure	50	14
establishment	50	13
less	50	4
latest	50	6
positive	50	8
businesses	50	10
strategic	50	9
biofuels	50	8
reject	49	6
references	49	10
individual	49	10
laws	49	4
statement	49	9
life	49	4
low	49	3
exclusion	49	9
criteria	48	8
greater	48	7
enhanced	48	8
organisation	48	12
rest	48	4
inform	48	6
play	48	4
knowledge	48	9
accepted	48	8
group	48	5
open	48	4
private	48	7
ensuring	47	8
together	47	8
origin	47	6
prevent	47	7
efficient	47	9
progress	47	8
strategies	47	10
diversification	47	15
covered	46	7
efficiency	46	10
adequate	46	8
aim	46	3
eligible	46	8
now	46	3
amendment	46	9
asked	46	5
equipment	46	9
party	46	5
representative	46	14
months	46	6
included	46	8
assessment	46	10
thus	46	4
day	46	3
about	46	5
significant	46	11
considered	46	10
executive	46	9
share	46	5
territory	45	9
scope	45	5
purpose	45	7
increased	45	9
problems	45	8
emergencies	45	11
phase	45	5
facilitate	45	10
event	45	5
limited	45	7
fact	45	4
integration	45	11
increasing	45	10
inclusion	45	9
type	44	4
digital	44	7
making	44	6
involved	44	8
several	44	7
receipt	44	7
implemented	44	11
issues	44	6
especially	44	10
finance	44	7
initiatives	44	11
suggested	43	9
approves	43	8
reduce	43	6
categories	43	10
reasons	43	7
applying	43	8
creation	43	8
responsibility	43	14
undertaken	43	10
age	43	3
overall	43	7
even	43	4
last	43	4
official	43	8
external	43	8
opportunity	43	11
highlighted	42	11
version	42	7
consideration	42	13
undertakings	42	12
efforts	42	7
factors	42	7
traditional	42	11
organisations	42	13
name	42	4
independent	42	11
justice	42	7
biomass	42	7
instance	41	8
errors	41	6
regulatory	41	10
detailed	41	8
create	41	6
adopt	41	5
tabled	41	6
goods	41	5
driver	41	6
above	41	5
setting	41	7
professional	41	12
good	41	4
nutrients	41	9
establish	41	9
meeting	41	7
meet	41	4
skills	41	6
institution	41	11
plans	41	5
technology	41	10
towards	40	7
risks	40	5
experience	40	10
issue	40	5
november	40	8
intended	40	8
granted	40	7
contains	40	8
diversity	40	9
young	40	5
document	40	8
box	40	3
applied	39	7
single	39	6
recent	39	6
comments	39	8
welcomes	39	8
consider	39	8
whole	39	5
carried	39	7
compliance	39	10
put	39	3
example	39	7
consumers	39	9
labelling	39	9
due	39	3
june	39	4
values	39	6
methods	39	7
decisions	39	9
awareness	39	9
communities	39	11
reform	39	6
global	39	6
element	39	7
highlighting	38	12
indication	38	10
using	38	5
contracts	38	9
balance	38	7
performance	38	11
treatment	38	9
rapporteurs	38	11
enable	38	6
clearly	38	7
prejudice	38	9
effects	38	7
documents	38	9
granting	38	8
limit	38	5
studies	38	7
operating	38	9
multiannual	38	11
entitled	38	8
euratom	38	7
showing	37	7
obvious	37	7
average	37	7
draw	37	4
intends	37	7
full	37	4
addition	37	8
benefit	37	7
physiological	37	13
matters	37	7
extended	37	8
publication	37	11
act	37	3
september	37	9
motion	37	6
world	37	5
fisheries	37	9
corrections	36	11
investments	36	11
entry	36	5
delivering	36	10
authorised	36	10
light	36	5
active	36	6
benefits	36	8
presentation	36	12
transparency	36	12
affected	36	8
direct	36	6
accounts	36	8
financing	36	9
encouraging	36	11
das	36	3
land	36	4
biodiversity	36	12
wood	36	4
urges	36	5
nonfood	36	7
shareholders	36	12
recommendation	35	14
bold	35	4
correction	35	10
omissions	35	9
checks	35	6
days	35	4
interests	35	9
furthermore	35	11
register	35	8
significantly	35	13
demand	35	6
creating	35	8
basic	35	5
climate	35	7
emergency	35	9
egtc	35	4
paper	35	5
